timestamp_ms,ax,ay,az,gx,gy,gz
330,0.3300,0.6600,1.0000,3.3000,6.6000,9.9000
340,0.3400,0.6800,1.0000,3.4000,6.8000,10.2000
350,0.3500,0.7000,1.0000,3.5000,7.0000,10.5000
360,0.3600,0.7200,1.0000,3.6000,7.2000,10.8000
370,0.3700,0.7400,1.0000,3.7000,7.4000,11.1000
380,0.3800,0.7600,1.0000,3.8000,7.6000,11.4000
390,0.3900,0.7800,1.0000,3.9000,7.8000,11.7000
400,0.4000,0.8000,1.0000,4.0000,8.0000,12.0000
410,0.4100,0.8200,1.0000,4.1000,8.2000,12.3000
420,0.4200,0.8400,1.0000,4.2000,8.4000,12.6000
430,0.4300,0.8600,1.0000,4.3000,8.6000,12.9000
440,0.4400,0.8800,1.0000,4.4000,8.8000,13.2000
450,0.4500,0.9000,1.0000,4.5000,9.0000,13.5000
460,0.4600,0.9200,1.0000,4.6000,9.2000,13.8000
470,0.4700,0.9400,1.0000,4.7000,9.4000,14.1000
480,0.4800,0.9600,1.0000,4.8000,9.6000,14.4000
490,0.4900,0.9800,1.0000,4.9000,9.8000,14.7000
500,0.5000,1.0000,1.0000,5.0000,10.0000,15.0000
510,0.5100,1.0200,1.0000,5.1000,10.2000,15.3000
520,0.5200,1.0400,1.0000,5.2000,10.4000,15.6000
530,0.5300,1.0600,1.0000,5.3000,10.6000,15.9000
540,0.5400,1.0800,1.0000,5.4000,10.8000,16.2000
550,0.5500,1.1000,1.0000,5.5000,11.0000,16.5000
560,0.5600,1.1200,1.0000,5.6000,11.2000,16.8000
570,0.5700,1.1400,1.0000,5.7000,11.4000,17.1000
580,0.5800,1.1600,1.0000,5.8000,11.6000,17.4000
590,0.5900,1.1800,1.0000,5.9000,11.8000,17.7000
600,0.6000,1.2000,1.0000,6.0000,12.0000,18.0000
610,0.6100,1.2200,1.0000,6.1000,12.2000,18.3000
620,0.6200,1.2400,1.0000,6.2000,12.4000,18.6000
630,0.6300,1.2600,1.0000,6.3000,12.6000,18.9000
640,0.6400,1.2800,1.0000,6.4000,12.8000,19.2000
650,0.6500,1.3000,1.0000,6.5000,13.0000,19.5000
660,0.6600,1.3200,1.0000,6.6000,13.2000,19.8000
670,0.6700,1.3400,1.0000,6.7000,13.4000,20.1000
680,0.6800,1.3600,1.0000,6.8000,13.6000,20.4000
690,0.6900,1.3800,1.0000,6.9000,13.8000,20.7000
700,0.7000,1.4000,1.0000,7.0000,14.0000,21.0000
710,0.7100,1.4200,1.0000,7.1000,14.2000,21.3000
720,0.7200,1.4400,1.0000,7.2000,14.4000,21.6000
730,0.7300,1.4600,1.0000,7.3000,14.6000,21.9000
740,0.7400,1.4800,1.0000,7.4000,14.8000,22.2000
750,0.7500,1.5000,1.0000,7.5000,15.0000,22.5000
760,0.7600,1.5200,1.0000,7.6000,15.2000,22.8000
770,0.7700,1.5400,1.0000,7.7000,15.4000,23.1000
780,0.7800,1.5600,1.0000,7.8000,15.6000,23.4000
790,0.7900,1.5800,1.0000,7.9000,15.8000,23.7000
800,0.8000,1.6000,1.0000,8.0000,16.0000,24.0000
810,0.8100,1.6200,1.0000,8.1000,16.2000,24.3000
820,0.8200,1.6400,1.0000,8.2000,16.4000,24.6000
830,0.8300,1.6600,1.0000,8.3000,16.6000,24.9000
840,0.8400,1.6800,1.0000,8.4000,16.8000,25.2000
850,0.8500,1.7000,1.0000,8.5000,17.0000,25.5000
860,0.8600,1.7200,1.0000,8.6000,17.2000,25.8000
870,0.8700,1.7400,1.0000,8.7000,17.4000,26.1000
880,0.8800,1.7600,1.0000,8.8000,17.6000,26.4000
890,0.8900,1.7800,1.0000,8.9000,17.8000,26.7000
900,0.9000,1.8000,1.0000,9.0000,18.0000,27.0000
910,0.9100,1.8200,1.0000,9.1000,18.2000,27.3000
920,0.9200,1.8400,1.0000,9.2000,18.4000,27.6000
930,0.9300,1.8600,1.0000,9.3000,18.6000,27.9000
940,0.9400,1.8800,1.0000,9.4000,18.8000,28.2000
950,0.9500,1.9000,1.0000,9.5000,19.0000,28.5000
960,0.9600,1.9200,1.0000,9.6000,19.2000,28.8000
970,0.9700,1.9400,1.0000,9.7000,19.4000,29.1000
980,0.9800,1.9600,1.0000,9.8000,19.6000,29.4000
990,0.9900,1.9800,1.0000,9.9000,19.8000,29.7000
1000,1.0000,2.0000,1.0000,10.0000,20.0000,30.0000
1010,1.0100,2.0200,1.0000,10.1000,20.2000,30.3000
1020,1.0200,2.0400,1.0000,10.2000,20.4000,30.6000
1030,1.0300,2.0600,1.0000,10.3000,20.6000,30.9000
1040,1.0400,2.0800,1.0000,10.4000,20.8000,31.2000
1050,1.0500,2.1000,1.0000,10.5000,21.0000,31.5000
1060,1.0600,2.1200,1.0000,10.6000,21.2000,31.8000
1070,1.0700,2.1400,1.0000,10.7000,21.4000,32.1000
1080,1.0800,2.1600,1.0000,10.8000,21.6000,32.4000
1090,1.0900,2.1800,1.0000,10.9000,21.8000,32.7000
1100,1.1000,2.2000,1.0000,11.0000,22.0000,33.0000
1110,1.1100,2.2200,1.0000,11.1000,22.2000,33.3000
1120,1.1200,2.2400,1.0000,11.2000,22.4000,33.6000
1130,1.1300,2.2600,1.0000,11.3000,22.6000,33.9000
1140,1.1400,2.2800,1.0000,11.4000,22.8000,34.2000
1150,1.1500,2.3000,1.0000,11.5000,23.0000,34.5000
1160,1.1600,2.3200,1.0000,11.6000,23.2000,34.8000
1170,1.1700,2.3400,1.0000,11.7000,23.4000,35.1000
1180,1.1800,2.3600,1.0000,11.8000,23.6000,35.4000
1190,1.1900,2.3800,1.0000,11.9000,23.8000,35.7000
1200,1.2000,2.4000,1.0000,12.0000,24.0000,36.0000
1210,1.2100,2.4200,1.0000,12.1000,24.2000,36.3000
1220,1.2200,2.4400,1.0000,12.2000,24.4000,36.6000
1230,1.2300,2.4600,1.0000,12.3000,24.6000,36.9000
1240,1.2400,2.4800,1.0000,12.4000,24.8000,37.2000
1250,1.2500,2.5000,1.0000,12.5000,25.0000,37.5000
1260,1.2600,2.5200,1.0000,12.6000,25.2000,37.8000
1270,1.2700,2.5400,1.0000,12.7000,25.4000,38.1000
1280,1.2800,2.5600,1.0000,12.8000,25.6000,38.4000
1290,1.2900,2.5800,1.0000,12.9000,25.8000,38.7000
1300,1.3000,2.6000,1.0000,13.0000,26.0000,39.0000
1310,1.3100,2.6200,1.0000,13.1000,26.2000,39.3000
1320,1.3200,2.6400,1.0000,13.2000,26.4000,39.6000
1330,1.3300,2.6600,1.0000,13.3000,26.6000,39.9000
1340,1.3400,2.6800,1.0000,13.4000,26.8000,40.2000
1350,1.3500,2.7000,1.0000,13.5000,27.0000,40.5000
1360,1.3600,2.7200,1.0000,13.6000,27.2000,40.8000
1370,1.3700,2.7400,1.0000,13.7000,27.4000,41.1000
1380,1.3800,2.7600,1.0000,13.8000,27.6000,41.4000
1390,1.3900,2.7800,1.0000,13.9000,27.8000,41.7000
1400,1.4000,2.8000,1.0000,14.0000,28.0000,42.0000
1410,1.4100,2.8200,1.0000,14.1000,28.2000,42.3000
1420,1.4200,2.8400,1.0000,14.2000,28.4000,42.6000
1430,1.4300,2.8600,1.0000,14.3000,28.6000,42.9000
1440,1.4400,2.8800,1.0000,14.4000,28.8000,43.2000
1450,1.4500,2.9000,1.0000,14.5000,29.0000,43.5000
1460,1.4600,2.9200,1.0000,14.6000,29.2000,43.8000
1470,1.4700,2.9400,1.0000,14.7000,29.4000,44.1000
1480,1.4800,2.9600,1.0000,14.8000,29.6000,44.4000
1490,1.4900,2.9800,1.0000,14.9000,29.8000,44.7000
1500,1.5000,3.0000,1.0000,15.0000,30.0000,45.0000
1510,1.5100,3.0200,1.0000,15.1000,30.2000,45.3000
1520,1.5200,3.0400,1.0000,15.2000,30.4000,45.6000
1530,1.5300,3.0600,1.0000,15.3000,30.6000,45.9000
1540,1.5400,3.0800,1.0000,15.4000,30.8000,46.2000
1550,1.5500,3.1000,1.0000,15.5000,31.0000,46.5000
1560,1.5600,3.1200,1.0000,15.6000,31.2000,46.8000
1570,1.5700,3.1400,1.0000,15.7000,31.4000,47.1000
1580,1.5800,3.1600,1.0000,15.8000,31.6000,47.4000
1590,1.5900,3.1800,1.0000,15.9000,31.8000,47.7000
1600,1.6000,3.2000,1.0000,16.0000,32.0000,48.0000
1610,1.6100,3.2200,1.0000,16.1000,32.2000,48.3000
1620,1.6200,3.2400,1.0000,16.2000,32.4000,48.6000
1630,1.6300,3.2600,1.0000,16.3000,32.6000,48.9000
1640,1.6400,3.2800,1.0000,16.4000,32.8000,49.2000
1650,1.6500,3.3000,1.0000,16.5000,33.0000,49.5000
1660,1.6600,3.3200,1.0000,16.6000,33.2000,49.8000
1670,1.6700,3.3400,1.0000,16.7000,33.4000,50.1000
1680,1.6800,3.3600,1.0000,16.8000,33.6000,50.4000
1690,1.6900,3.3800,1.0000,16.9000,33.8000,50.7000
1700,1.7000,3.4000,1.0000,17.0000,34.0000,51.0000
1710,1.7100,3.4200,1.0000,17.1000,34.2000,51.3000
1720,1.7200,3.4400,1.0000,17.2000,34.4000,51.6000
1730,1.7300,3.4600,1.0000,17.3000,34.6000,51.9000
1740,1.7400,3.4800,1.0000,17.4000,34.8000,52.2000
1750,1.7500,3.5000,1.0000,17.5000,35.0000,52.5000
1760,1.7600,3.5200,1.0000,17.6000,35.2000,52.8000
1770,1.7700,3.5400,1.0000,17.7000,35.4000,53.1000
1780,1.7800,3.5600,1.0000,17.8000,35.6000,53.4000
1790,1.7900,3.5800,1.0000,17.9000,35.8000,53.7000
1800,1.8000,3.6000,1.0000,18.0000,36.0000,54.0000
1810,1.8100,3.6200,1.0000,18.1000,36.2000,54.3000
1820,1.8200,3.6400,1.0000,18.2000,36.4000,54.6000
1830,1.8300,3.6600,1.0000,18.3000,36.6000,54.9000
1840,1.8400,3.6800,1.0000,18.4000,36.8000,55.2000
1850,1.8500,3.7000,1.0000,18.5000,37.0000,55.5000
1860,1.8600,3.7200,1.0000,18.6000,37.2000,55.8000
1870,1.8700,3.7400,1.0000,18.7000,37.4000,56.1000
1880,1.8800,3.7600,1.0000,18.8000,37.6000,56.4000
1890,1.8900,3.7800,1.0000,18.9000,37.8000,56.7000
1900,1.9000,3.8000,1.0000,19.0000,38.0000,57.0000
1910,1.9100,3.8200,1.0000,19.1000,38.2000,57.3000
1920,1.9200,3.8400,1.0000,19.2000,38.4000,57.6000
1930,1.9300,3.8600,1.0000,19.3000,38.6000,57.9000
1940,1.9400,3.8800,1.0000,19.4000,38.8000,58.2000
1950,1.9500,3.9000,1.0000,19.5000,39.0000,58.5000
1960,1.9600,3.9200,1.0000,19.6000,39.2000,58.8000
1970,1.9700,3.9400,1.0000,19.7000,39.4000,59.1000
1980,1.9800,3.9600,1.0000,19.8000,39.6000,59.4000
1990,1.9900,3.9800,1.0000,19.9000,39.8000,59.7000
2000,2.0000,4.0000,1.0000,20.0000,40.0000,60.0000
2010,2.0100,4.0200,1.0000,20.1000,40.2000,60.3000
2020,2.0200,4.0400,1.0000,20.2000,40.4000,60.6000
2030,2.0300,4.0600,1.0000,20.3000,40.6000,60.9000
2040,2.0400,4.0800,1.0000,20.4000,40.8000,61.2000
2050,2.0500,4.1000,1.0000,20.5000,41.0000,61.5000
2060,2.0600,4.1200,1.0000,20.6000,41.2000,61.8000
2070,2.0700,4.1400,1.0000,20.7000,41.4000,62.1000
2080,2.0800,4.1600,1.0000,20.8000,41.6000,62.4000
2090,2.0900,4.1800,1.0000,20.9000,41.8000,62.7000
2100,2.1000,4.2000,1.0000,21.0000,42.0000,63.0000
2110,2.1100,4.2200,1.0000,21.1000,42.2000,63.3000
2120,2.1200,4.2400,1.0000,21.2000,42.4000,63.6000
2130,2.1300,4.2600,1.0000,21.3000,42.6000,63.9000
2140,2.1400,4.2800,1.0000,21.4000,42.8000,64.2000
2150,2.1500,4.3000,1.0000,21.5000,43.0000,64.5000
2160,2.1600,4.3200,1.0000,21.6000,43.2000,64.8000
2170,2.1700,4.3400,1.0000,21.7000,43.4000,65.1000
2180,2.1800,4.3600,1.0000,21.8000,43.6000,65.4000
2190,2.1900,4.3800,1.0000,21.9000,43.8000,65.7000
2200,2.2000,4.4000,1.0000,22.0000,44.0000,66.0000
2210,2.2100,4.4200,1.0000,22.1000,44.2000,66.3000
2220,2.2200,4.4400,1.0000,22.2000,44.4000,66.6000
2230,2.2300,4.4600,1.0000,22.3000,44.6000,66.9000
2240,2.2400,4.4800,1.0000,22.4000,44.8000,67.2000
2250,2.2500,4.5000,1.0000,22.5000,45.0000,67.5000
2260,2.2600,4.5200,1.0000,22.6000,45.2000,67.8000
2270,2.2700,4.5400,1.0000,22.7000,45.4000,68.1000
2280,2.2800,4.5600,1.0000,22.8000,45.6000,68.4000
2290,2.2900,4.5800,1.0000,22.9000,45.8000,68.7000
2300,2.3000,4.6000,1.0000,23.0000,46.0000,69.0000
2310,2.3100,4.6200,1.0000,23.1000,46.2000,69.3000
2320,2.3200,4.6400,1.0000,23.2000,46.4000,69.6000
2330,2.3300,4.6600,1.0000,23.3000,46.6000,69.9000
2340,2.3400,4.6800,1.0000,23.4000,46.8000,70.2000
2350,2.3500,4.7000,1.0000,23.5000,47.0000,70.5000
2360,2.3600,4.7200,1.0000,23.6000,47.2000,70.8000
2370,2.3700,4.7400,1.0000,23.7000,47.4000,71.1000
2380,2.3800,4.7600,1.0000,23.8000,47.6000,71.4000
2390,2.3900,4.7800,1.0000,23.9000,47.8000,71.7000
2400,2.4000,4.8000,1.0000,24.0000,48.0000,72.0000
2410,2.4100,4.8200,1.0000,24.1000,48.2000,72.3000
2420,2.4200,4.8400,1.0000,24.2000,48.4000,72.6000
2430,2.4300,4.8600,1.0000,24.3000,48.6000,72.9000
2440,2.4400,4.8800,1.0000,24.4000,48.8000,73.2000
2450,2.4500,4.9000,1.0000,24.5000,49.0000,73.5000
2460,2.4600,4.9200,1.0000,24.6000,49.2000,73.8000
2470,2.4700,4.9400,1.0000,24.7000,49.4000,74.1000
2480,2.4800,4.9600,1.0000,24.8000,49.6000,74.4000
2490,2.4900,4.9800,1.0000,24.9000,49.8000,74.7000
2500,2.5000,5.0000,1.0000,25.0000,50.0000,75.0000
2510,2.5100,5.0200,1.0000,25.1000,50.2000,75.3000
2520,2.5200,5.0400,1.0000,25.2000,50.4000,75.6000
2530,2.5300,5.0600,1.0000,25.3000,50.6000,75.9000
2540,2.5400,5.0800,1.0000,25.4000,50.8000,76.2000
2550,2.5500,5.1000,1.0000,25.5000,51.0000,76.5000
2560,2.5600,5.1200,1.0000,25.6000,51.2000,76.8000
2570,2.5700,5.1400,1.0000,25.7000,51.4000,77.1000
2580,2.5800,5.1600,1.0000,25.8000,51.6000,77.4000
2590,2.5900,5.1800,1.0000,25.9000,51.8000,77.7000
2600,2.6000,5.2000,1.0000,26.0000,52.0000,78.0000
2610,2.6100,5.2200,1.0000,26.1000,52.2000,78.3000
2620,2.6200,5.2400,1.0000,26.2000,52.4000,78.6000
2630,2.6300,5.2600,1.0000,26.3000,52.6000,78.9000
2640,2.6400,5.2800,1.0000,26.4000,52.8000,79.2000
2650,2.6500,5.3000,1.0000,26.5000,53.0000,79.5000
2660,2.6600,5.3200,1.0000,26.6000,53.2000,79.8000
2670,2.6700,5.3400,1.0000,26.7000,53.4000,80.1000
2680,2.6800,5.3600,1.0000,26.8000,53.6000,80.4000
2690,2.6900,5.3800,1.0000,26.9000,53.8000,80.7000
2700,2.7000,5.4000,1.0000,27.0000,54.0000,81.0000
2710,2.7100,5.4200,1.0000,27.1000,54.2000,81.3000
2720,2.7200,5.4400,1.0000,27.2000,54.4000,81.6000
2730,2.7300,5.4600,1.0000,27.3000,54.6000,81.9000
2740,2.7400,5.4800,1.0000,27.4000,54.8000,82.2000
2750,2.7500,5.5000,1.0000,27.5000,55.0000,82.5000
2760,2.7600,5.5200,1.0000,27.6000,55.2000,82.8000
2770,2.7700,5.5400,1.0000,27.7000,55.4000,83.1000
2780,2.7800,5.5600,1.0000,27.8000,55.6000,83.4000
2790,2.7900,5.5800,1.0000,27.9000,55.8000,83.7000
2800,2.8000,5.6000,1.0000,28.0000,56.0000,84.0000
2810,2.8100,5.6200,1.0000,28.1000,56.2000,84.3000
2820,2.8200,5.6400,1.0000,28.2000,56.4000,84.6000
2830,2.8300,5.6600,1.0000,28.3000,56.6000,84.9000
2840,2.8400,5.6800,1.0000,28.4000,56.8000,85.2000
2850,2.8500,5.7000,1.0000,28.5000,57.0000,85.5000
2860,2.8600,5.7200,1.0000,28.6000,57.2000,85.8000
2870,2.8700,5.7400,1.0000,28.7000,57.4000,86.1000
2880,2.8800,5.7600,1.0000,28.8000,57.6000,86.4000
2890,2.8900,5.7800,1.0000,28.9000,57.8000,86.7000
2900,2.9000,5.8000,1.0000,29.0000,58.0000,87.0000
2910,2.9100,5.8200,1.0000,29.1000,58.2000,87.3000
2920,2.9200,5.8400,1.0000,29.2000,58.4000,87.6000
2930,2.9300,5.8600,1.0000,29.3000,58.6000,87.9000
2940,2.9400,5.8800,1.0000,29.4000,58.8000,88.2000
2950,2.9500,5.9000,1.0000,29.5000,59.0000,88.5000
2960,2.9600,5.9200,1.0000,29.6000,59.2000,88.8000
2970,2.9700,5.9400,1.0000,29.7000,59.4000,89.1000
2980,2.9800,5.9600,1.0000,29.8000,59.6000,89.4000
2990,2.9900,5.9800,1.0000,29.9000,59.8000,89.7000
3000,3.0000,6.0000,1.0000,30.0000,60.0000,90.0000
3010,3.0100,6.0200,1.0000,30.1000,60.2000,90.3000
3020,3.0200,6.0400,1.0000,30.2000,60.4000,90.6000
3030,3.0300,6.0600,1.0000,30.3000,60.6000,90.9000
3040,3.0400,6.0800,1.0000,30.4000,60.8000,91.2000
3050,3.0500,6.1000,1.0000,30.5000,61.0000,91.5000
3060,3.0600,6.1200,1.0000,30.6000,61.2000,91.8000
3070,3.0700,6.1400,1.0000,30.7000,61.4000,92.1000
3080,3.0800,6.1600,1.0000,30.8000,61.6000,92.4000
3090,3.0900,6.1800,1.0000,30.9000,61.8000,92.7000
3100,3.1000,6.2000,1.0000,31.0000,62.0000,93.0000
3110,3.1100,6.2200,1.0000,31.1000,62.2000,93.3000
3120,3.1200,6.2400,1.0000,31.2000,62.4000,93.6000
3130,3.1300,6.2600,1.0000,31.3000,62.6000,93.9000
3140,3.1400,6.2800,1.0000,31.4000,62.8000,94.2000
3150,3.1500,6.3000,1.0000,31.5000,63.0000,94.5000
3160,3.1600,6.3200,1.0000,31.6000,63.2000,94.8000
3170,3.1700,6.3400,1.0000,31.7000,63.4000,95.1000
3180,3.1800,6.3600,1.0000,31.8000,63.6000,95.4000
3190,3.1900,6.3800,1.0000,31.9000,63.8000,95.7000
3200,3.2000,6.4000,1.0000,32.0000,64.0000,96.0000
3210,3.2100,6.4200,1.0000,32.1000,64.2000,96.3000
3220,3.2200,6.4400,1.0000,32.2000,64.4000,96.6000
3230,3.2300,6.4600,1.0000,32.3000,64.6000,96.9000
3240,3.2400,6.4800,1.0000,32.4000,64.8000,97.2000
3250,3.2500,6.5000,1.0000,32.5000,65.0000,97.5000
3260,3.2600,6.5200,1.0000,32.6000,65.2000,97.8000
3270,3.2700,6.5400,1.0000,32.7000,65.4000,98.1000
3280,3.2800,6.5600,1.0000,32.8000,65.6000,98.4000
3290,3.2900,6.5800,1.0000,32.9000,65.8000,98.7000
3300,3.3000,6.6000,1.0000,33.0000,66.0000,99.0000
3310,3.3100,6.6200,1.0000,33.1000,66.2000,99.3000
3320,3.3200,6.6400,1.0000,33.2000,66.4000,99.6000
3330,3.3300,6.6600,1.0000,33.3000,66.6000,99.9000
3340,3.3400,6.6800,1.0000,33.4000,66.8000,100.2000
3350,3.3500,6.7000,1.0000,33.5000,67.0000,100.5000
3360,3.3600,6.7200,1.0000,33.6000,67.2000,100.8000
3370,3.3700,6.7400,1.0000,33.7000,67.4000,101.1000
3380,3.3800,6.7600,1.0000,33.8000,67.6000,101.4000
3390,3.3900,6.7800,1.0000,33.9000,67.8000,101.7000
3400,3.4000,6.8000,1.0000,34.0000,68.0000,102.0000
3410,3.4100,6.8200,1.0000,34.1000,68.2000,102.3000
3420,3.4200,6.8400,1.0000,34.2000,68.4000,102.6000
3430,3.4300,6.8600,1.0000,34.3000,68.6000,102.9000
3440,3.4400,6.8800,1.0000,34.4000,68.8000,103.2000
3450,3.4500,6.9000,1.0000,34.5000,69.0000,103.5000
3460,3.4600,6.9200,1.0000,34.6000,69.2000,103.8000
3470,3.4700,6.9400,1.0000,34.7000,69.4000,104.1000
3480,3.4800,6.9600,1.0000,34.8000,69.6000,104.4000
3490,3.4900,6.9800,1.0000,34.9000,69.8000,104.7000
3500,3.5000,7.0000,1.0000,35.0000,70.0000,105.0000
3510,3.5100,7.0200,1.0000,35.1000,70.2000,105.3000
3520,3.5200,7.0400,1.0000,35.2000,70.4000,105.6000
3530,3.5300,7.0600,1.0000,35.3000,70.6000,105.9000
3540,3.5400,7.0800,1.0000,35.4000,70.8000,106.2000
3550,3.5500,7.1000,1.0000,35.5000,71.0000,106.5000
3560,3.5600,7.1200,1.0000,35.6000,71.2000,106.8000
3570,3.5700,7.1400,1.0000,35.7000,71.4000,107.1000
3580,3.5800,7.1600,1.0000,35.8000,71.6000,107.4000
3590,3.5900,7.1800,1.0000,35.9000,71.8000,107.7000
3600,3.6000,7.2000,1.0000,36.0000,72.0000,108.0000
3610,3.6100,7.2200,1.0000,36.1000,72.2000,108.3000
3620,3.6200,7.2400,1.0000,36.2000,72.4000,108.6000
3630,3.6300,7.2600,1.0000,36.3000,72.6000,108.9000
3640,3.6400,7.2800,1.0000,36.4000,72.8000,109.2000
3650,3.6500,7.3000,1.0000,36.5000,73.0000,109.5000
3660,3.6600,7.3200,1.0000,36.6000,73.2000,109.8000
3670,3.6700,7.3400,1.0000,36.7000,73.4000,110.1000
3680,3.6800,7.3600,1.0000,36.8000,73.6000,110.4000
3690,3.6900,7.3800,1.0000,36.9000,73.8000,110.7000
3700,3.7000,7.4000,1.0000,37.0000,74.0000,111.0000
3710,3.7100,7.4200,1.0000,37.1000,74.2000,111.3000
3720,3.7200,7.4400,1.0000,37.2000,74.4000,111.6000
3730,3.7300,7.4600,1.0000,37.3000,74.6000,111.9000
3740,3.7400,7.4800,1.0000,37.4000,74.8000,112.2000
3750,3.7500,7.5000,1.0000,37.5000,75.0000,112.5000
3760,3.7600,7.5200,1.0000,37.6000,75.2000,112.8000
3770,3.7700,7.5400,1.0000,37.7000,75.4000,113.1000
3780,3.7800,7.5600,1.0000,37.8000,75.6000,113.4000
3790,3.7900,7.5800,1.0000,37.9000,75.8000,113.7000
3800,3.8000,7.6000,1.0000,38.0000,76.0000,114.0000
3810,3.8100,7.6200,1.0000,38.1000,76.2000,114.3000
3820,3.8200,7.6400,1.0000,38.2000,76.4000,114.6000
3830,3.8300,7.6600,1.0000,38.3000,76.6000,114.9000
3840,3.8400,7.6800,1.0000,38.4000,76.8000,115.2000
3850,3.8500,7.7000,1.0000,38.5000,77.0000,115.5000
3860,3.8600,7.7200,1.0000,38.6000,77.2000,115.8000
3870,3.8700,7.7400,1.0000,38.7000,77.4000,116.1000
3880,3.8800,7.7600,1.0000,38.8000,77.6000,116.4000
3890,3.8900,7.7800,1.0000,38.9000,77.8000,116.7000
3900,3.9000,7.8000,1.0000,39.0000,78.0000,117.0000
3910,3.9100,7.8200,1.0000,39.1000,78.2000,117.3000
3920,3.9200,7.8400,1.0000,39.2000,78.4000,117.6000
3930,3.9300,7.8600,1.0000,39.3000,78.6000,117.9000
3940,3.9400,7.8800,1.0000,39.4000,78.8000,118.2000
3950,3.9500,7.9000,1.0000,39.5000,79.0000,118.5000
3960,3.9600,7.9200,1.0000,39.6000,79.2000,118.8000
3970,3.9700,7.9400,1.0000,39.7000,79.4000,119.1000
3980,3.9800,7.9600,1.0000,39.8000,79.6000,119.4000
3990,3.9900,7.9800,1.0000,39.9000,79.8000,119.7000
4000,4.0000,8.0000,1.0000,40.0000,80.0000,120.0000
4010,4.0100,8.0200,1.0000,40.1000,80.2000,120.3000
4020,4.0200,8.0400,1.0000,40.2000,80.4000,120.6000
4030,4.0300,8.0600,1.0000,40.3000,80.6000,120.9000
4040,4.0400,8.0800,1.0000,40.4000,80.8000,121.2000
4050,4.0500,8.1000,1.0000,40.5000,81.0000,121.5000
4060,4.0600,8.1200,1.0000,40.6000,81.2000,121.8000
4070,4.0700,8.1400,1.0000,40.7000,81.4000,122.1000
4080,4.0800,8.1600,1.0000,40.8000,81.6000,122.4000
4090,4.0900,8.1800,1.0000,40.9000,81.8000,122.7000
4100,4.1000,8.2000,1.0000,41.0000,82.0000,123.0000
4110,4.1100,8.2200,1.0000,41.1000,82.2000,123.3000
4120,4.1200,8.2400,1.0000,41.2000,82.4000,123.6000
4130,4.1300,8.2600,1.0000,41.3000,82.6000,123.9000
4140,4.1400,8.2800,1.0000,41.4000,82.8000,124.2000
4150,4.1500,8.3000,1.0000,41.5000,83.0000,124.5000
4160,4.1600,8.3200,1.0000,41.6000,83.2000,124.8000
4170,4.1700,8.3400,1.0000,41.7000,83.4000,125.1000
4180,4.1800,8.3600,1.0000,41.8000,83.6000,125.4000
4190,4.1900,8.3800,1.0000,41.9000,83.8000,125.7000
4200,4.2000,8.4000,1.0000,42.0000,84.0000,126.0000
4210,4.2100,8.4200,1.0000,42.1000,84.2000,126.3000
4220,4.2200,8.4400,1.0000,42.2000,84.4000,126.6000
4230,4.2300,8.4600,1.0000,42.3000,84.6000,126.9000
4240,4.2400,8.4800,1.0000,42.4000,84.8000,127.2000
